i_or_j,r,t
78,,0.123307511653399
79,,0.124878307980194
80,,0.126449104306989
81,,0.128019900633784
82,,0.129590696960579
83,,0.131161493287374
84,,0.132732289614169
85,,0.134303085940964
86,,0.135873882267759
87,,0.137444678594553
88,,0.139015474921348
89,,0.140586271248143
90,,0.142157067574938
91,,0.143727863901733
92,,0.145298660228528
93,,0.146869456555323
94,,0.148440252882118
95,,0.150011049208913
96,,0.151581845535708
97,,0.153152641862502
98,,0.154723438189297
99,,0.156294234516092
100,,0.157865030842887
101,,0.159435827169682
102,,0.161006623496477
103,,0.162577419823272
104,,0.164148216150067
105,,0.165719012476862
106,,0.167289808803656
107,,0.168860605130451
108,,0.170431401457246
109,,0.172002197784041
110,,0.173572994110836
111,,0.175143790437631
112,,0.176714586764426
113,,0.178285383091221
114,,0.179856179418016
115,,0.181426975744811
116,,0.182997772071605
117,,0.1845685683984
118,,0.186139364725195
119,,0.18771016105199
120,,0.189280957378785
121,,0.19085175370558
122,,0.192422550032375
123,,0.19399334635917
124,,0.195564142685965
125,,0.19713493901276
126,,0.198705735339554
127,,0.200276531666349
128,,0.201847327993144
129,,0.203418124319939
130,,0.204988920646734
131,,0.206559716973529
132,,0.208130513300324
133,,0.209701309627119
134,,0.211272105953914
135,,0.212842902280709
136,,0.214413698607503
137,,0.215984494934298
138,,0.217555291261093
139,,0.219126087587888
140,,0.220696883914683
141,,0.222267680241478
142,,0.223838476568273
143,,0.225409272895068
144,,0.226980069221863
145,,0.228550865548657
146,,0.230121661875452
147,,0.231692458202247
148,,0.233263254529042
149,,0.234834050855837
150,,0.236404847182632
151,,0.237975643509427
152,,0.239546439836222
153,,0.241117236163017
154,,0.242688032489812
155,,0.244258828816606
156,,0.245829625143401
157,,0.247400421470196
158,,0.248971217796991
159,,0.250542014123786
160,,0.252112810450581
161,,0.253683606777376
162,,0.255254403104171
163,,0.256825199430966
164,,0.258395995757761
165,,0.259966792084555
166,,0.26153758841135
167,,0.263108384738145
168,,0.26467918106494
169,,0.266249977391735
170,,0.26782077371853
171,,0.269391570045325
172,,0.27096236637212
173,,0.272533162698915
174,,0.274103959025709
175,,0.275674755352504
176,,0.277245551679299
177,,0.278816348006094
178,,0.280387144332889
179,,0.281957940659684
180,,0.283528736986479
181,,0.285099533313274
182,,0.286670329640069
183,,0.288241125966864
184,,0.289811922293658
185,,0.291382718620453
186,,0.292953514947248
187,,0.294524311274043
188,,0.296095107600838
189,,0.297665903927633
190,,0.299236700254428
191,,0.300807496581223
192,,0.302378292908018
193,,0.303949089234813
194,,0.305519885561607
195,,0.307090681888402
196,,0.308661478215197
197,,0.310232274541992
198,,0.311803070868787
199,,0.313373867195582
200,,0.314944663522377
201,,0.316515459849172
202,,0.318086256175967
203,,0.319657052502761
204,,0.321227848829556
205,,0.322798645156351
206,,0.324369441483146
207,,0.325940237809941
208,,0.327511034136736
209,,0.329081830463531
210,,0.330652626790326
211,,0.332223423117121
212,,0.333794219443916
213,,0.33536501577071
214,,0.336935812097505
215,,0.3385066084243
216,,0.340077404751095
217,,0.34164820107789
218,,0.343218997404685
219,,0.34478979373148
220,,0.346360590058275
221,,0.34793138638507
222,,0.349502182711865
223,,0.351072979038659
224,,0.352643775365454
225,,0.354214571692249
226,,0.355785368019044
227,,0.357356164345839
228,,0.358926960672634
229,,0.360497756999429
230,,0.362068553326224
231,,0.363639349653019
232,,0.365210145979813
233,,0.366780942306608
234,,0.368351738633403
235,,0.369922534960198
236,,0.371493331286993
237,,0.373064127613788
238,,0.374634923940583
239,,0.376205720267378
240,,0.377776516594173
241,,0.379347312920968
242,,0.380918109247762
243,,0.382488905574557
244,,0.384059701901352
245,,0.385630498228147
246,,0.387201294554942
247,,0.388772090881737
248,,0.390342887208532
249,,0.391913683535327
250,,0.393484479862122
251,,0.395055276188917
252,,0.396626072515711
253,,0.398196868842506
254,,0.399767665169301
255,,0.401338461496096
256,,0.402909257822891
257,,0.404480054149686
258,,0.406050850476481
259,,0.407621646803276
260,,0.409192443130071
261,,0.410763239456865
262,,0.41233403578366
263,,0.413904832110455
264,,0.41547562843725
265,,0.417046424764045
266,,0.41861722109084
267,,0.420188017417635
268,,0.42175881374443
