i_or_j,r,t
132,,0.832522053201295
133,,0.838805238508475
134,,0.845088423815654
135,,0.851371609122834
136,,0.857654794430014
137,,0.863937979737193
138,,0.870221165044373
139,,0.876504350351552
140,,0.882787535658732
141,,0.889070720965912
142,,0.895353906273091
143,,0.901637091580271
144,,0.90792027688745
145,,0.91420346219463
146,,0.920486647501809
147,,0.926769832808989
148,,0.933053018116169
149,,0.939336203423348
150,,0.945619388730528
151,,0.951902574037707
152,,0.958185759344887
153,,0.964468944652067
154,,0.970752129959246
155,,0.977035315266426
156,,0.983318500573605
157,,0.989601685880785
158,,0.995884871187965
159,,1.00216805649514
160,,1.00845124180232
161,,1.0147344271095
162,,1.02101761241668
163,,1.02730079772386
164,,1.03358398303104
165,,1.03986716833822
166,,1.0461503536454
167,,1.05243353895258
168,,1.05871672425976
169,,1.06499990956694
170,,1.07128309487412
171,,1.0775662801813
172,,1.08384946548848
173,,1.09013265079566
174,,1.09641583610284
175,,1.10269902141002
176,,1.1089822067172
177,,1.11526539202438
178,,1.12154857733156
179,,1.12783176263874
180,,1.13411494794592
181,,1.1403981332531
182,,1.14668131856027
183,,1.15296450386745
184,,1.15924768917463
185,,1.16553087448181
186,,1.17181405978899
187,,1.17809724509617
188,,1.18438043040335
189,,1.19066361571053
190,,1.19694680101771
191,,1.20322998632489
192,,1.20951317163207
193,,1.21579635693925
194,,1.22207954224643
195,,1.22836272755361
196,,1.23464591286079
197,,1.24092909816797
198,,1.24721228347515
199,,1.25349546878233
200,,1.25977865408951
201,,1.26606183939669
202,,1.27234502470387
203,,1.27862821001105
204,,1.28491139531823
205,,1.29119458062541
206,,1.29747776593258
207,,1.30376095123976
208,,1.31004413654694
209,,1.31632732185412
210,,1.3226105071613
211,,1.32889369246848
212,,1.33517687777566
213,,1.34146006308284
214,,1.34774324839002
215,,1.3540264336972
216,,1.36030961900438
217,,1.36659280431156
218,,1.37287598961874
219,,1.37915917492592
220,,1.3854423602331
221,,1.39172554554028
222,,1.39800873084746
223,,1.40429191615464
224,,1.41057510146182
225,,1.416858286769
226,,1.42314147207618
227,,1.42942465738336
228,,1.43570784269054
229,,1.44199102799772
230,,1.44827421330489
231,,1.45455739861207
232,,1.46084058391925
233,,1.46712376922643
234,,1.47340695453361
235,,1.47969013984079
236,,1.48597332514797
237,,1.49225651045515
238,,1.49853969576233
239,,1.50482288106951
240,,1.51110606637669
241,,1.51738925168387
242,,1.52367243699105
243,,1.52995562229823
244,,1.53623880760541
245,,1.54252199291259
246,,1.54880517821977
247,,1.55508836352695
248,,1.56137154883413
249,,1.56765473414131
250,,1.57393791944849
251,,1.58022110475567
252,,1.58650429006285
253,,1.59278747537003
254,,1.5990706606772
255,,1.60535384598438
256,,1.61163703129156
257,,1.61792021659874
258,,1.62420340190592
259,,1.6304865872131
