i_or_j,r,t
165,,0.519933584169111
166,,0.523075176822701
167,,0.52621676947629
168,,0.52935836212988
169,,0.53249995478347
170,,0.53564154743706
171,,0.53878314009065
172,,0.541924732744239
173,,0.545066325397829
174,,0.548207918051419
175,,0.551349510705009
176,,0.554491103358599
177,,0.557632696012188
178,,0.560774288665778
179,,0.563915881319368
180,,0.567057473972958
181,,0.570199066626548
182,,0.573340659280137
183,,0.576482251933727
184,,0.579623844587317
185,,0.582765437240907
186,,0.585907029894497
187,,0.589048622548086
188,,0.592190215201676
189,,0.595331807855266
190,,0.598473400508856
191,,0.601614993162445
192,,0.604756585816035
193,,0.607898178469625
194,,0.611039771123215
195,,0.614181363776805
196,,0.617322956430394
197,,0.620464549083984
198,,0.623606141737574
199,,0.626747734391164
200,,0.629889327044754
201,,0.633030919698343
202,,0.636172512351933
203,,0.639314105005523
204,,0.642455697659113
205,,0.645597290312703
206,,0.648738882966292
207,,0.651880475619882
208,,0.655022068273472
209,,0.658163660927062
210,,0.661305253580652
211,,0.664446846234241
212,,0.667588438887831
213,,0.670730031541421
214,,0.673871624195011
215,,0.6770132168486
216,,0.68015480950219
217,,0.68329640215578
218,,0.68643799480937
219,,0.68957958746296
220,,0.692721180116549
221,,0.695862772770139
222,,0.699004365423729
223,,0.702145958077319
224,,0.705287550730909
225,,0.708429143384498
226,,0.711570736038088
227,,0.714712328691678
228,,0.717853921345268
229,,0.720995513998858
230,,0.724137106652447
231,,0.727278699306037
232,,0.730420291959627
233,,0.733561884613217
234,,0.736703477266807
235,,0.739845069920396
236,,0.742986662573986
237,,0.746128255227576
238,,0.749269847881166
239,,0.752411440534756
240,,0.755553033188345
241,,0.758694625841935
242,,0.761836218495525
243,,0.764977811149115
244,,0.768119403802704
245,,0.771260996456294
246,,0.774402589109884
247,,0.777544181763474
248,,0.780685774417064
249,,0.783827367070653
250,,0.786968959724243
251,,0.790110552377833
252,,0.793252145031423
253,,0.796393737685013
254,,0.799535330338602
255,,0.802676922992192
256,,0.805818515645782
257,,0.808960108299372
258,,0.812101700952962
259,,0.815243293606551
260,,0.818384886260141
261,,0.821526478913731
262,,0.824668071567321
263,,0.827809664220911
264,,0.8309512568745
265,,0.83409284952809
266,,0.83723444218168
267,,0.84037603483527
268,,0.84351762748886
269,,0.846659220142449
270,,0.849800812796039
271,,0.852942405449629
272,,0.856083998103219
273,,0.859225590756808
274,,0.862367183410398
275,,0.865508776063988
276,,0.868650368717578
277,,0.871791961371168
278,,0.874933554024757
279,,0.878075146678347
280,,0.881216739331937
281,,0.884358331985527
282,,0.887499924639117
283,,0.890641517292706
284,,0.893783109946296
285,,0.896924702599886
286,,0.900066295253476
287,,0.903207887907066
288,,0.906349480560655
289,,0.909491073214245
290,,0.912632665867835
291,,0.915774258521425
292,,0.918915851175015
293,,0.922057443828604
294,,0.925199036482194
295,,0.928340629135784
296,,0.931482221789374
297,,0.934623814442963
298,,0.937765407096553
299,,0.940906999750143
300,,0.944048592403733
301,,0.947190185057323
302,,0.950331777710912
303,,0.953473370364502
304,,0.956614963018092
305,,0.959756555671682
306,,0.962898148325272
307,,0.966039740978861
308,,0.969181333632451
309,,0.972322926286041
310,,0.975464518939631
311,,0.978606111593221
312,,0.98174770424681
313,,0.9848892969004
314,,0.98803088955399
315,,0.99117248220758
316,,0.99431407486117
317,,0.997455667514759
318,,1.00059726016835
319,,1.00373885282194
320,,1.00688044547553
321,,1.01002203812912
322,,1.01316363078271
323,,1.0163052234363
324,,1.01944681608989
325,,1.02258840874348
326,,1.02573000139707
327,,1.02887159405066
328,,1.03201318670425
329,,1.03515477935784
330,,1.03829637201143
331,,1.04143796466502
332,,1.04457955731861
333,,1.0477211499722
334,,1.05086274262579
335,,1.05400433527938
336,,1.05714592793297
337,,1.06028752058656
338,,1.06342911324014
339,,1.06657070589373
340,,1.06971229854732
341,,1.07285389120091
342,,1.0759954838545
343,,1.07913707650809
344,,1.08227866916168
345,,1.08542026181527
346,,1.08856185446886
347,,1.09170344712245
348,,1.09484503977604
349,,1.09798663242963
350,,1.10112822508322
351,,1.10426981773681
352,,1.1074114103904
353,,1.11055300304399
354,,1.11369459569758
355,,1.11683618835117
356,,1.11997778100476
357,,1.12311937365835
358,,1.12626096631194
359,,1.12940255896553
360,,1.13254415161912
361,,1.13568574427271
362,,1.1388273369263
363,,1.14196892957989
364,,1.14511052223348
365,,1.14825211488707
366,,1.15139370754066
367,,1.15453530019425
368,,1.15767689284784
369,,1.16081848550143
370,,1.16396007815502
371,,1.16710167080861
372,,1.1702432634622
373,,1.17338485611579
374,,1.17652644876938
375,,1.17966804142297
376,,1.18280963407656
377,,1.18595122673015
378,,1.18909281938374
379,,1.19223441203733
380,,1.19537600469092
381,,1.19851759734451
382,,1.2016591899981
383,,1.20480078265169
384,,1.20794237530528
385,,1.21108396795887
386,,1.21422556061246
387,,1.21736715326604
388,,1.22050874591963
389,,1.22365033857322
390,,1.22679193122681
391,,1.2299335238804
392,,1.23307511653399
393,,1.23621670918758
394,,1.23935830184117
395,,1.24249989449476
396,,1.24564148714835
397,,1.24878307980194
398,,1.25192467245553
399,,1.25506626510912
400,,1.25820785776271
401,,1.2613494504163
402,,1.26449104306989
403,,1.26763263572348
404,,1.27077422837707
405,,1.27391582103066
406,,1.27705741368425
407,,1.28019900633784
408,,1.28334059899143
409,,1.28648219164502
410,,1.28962378429861
411,,1.2927653769522
412,,1.29590696960579
413,,1.29904856225938
414,,1.30219015491297
415,,1.30533174756656
416,,1.30847334022015
417,,1.31161493287374
418,,1.31475652552733
419,,1.31789811818092
420,,1.32103971083451
421,,1.3241813034881
422,,1.32732289614169
423,,1.33046448879528
424,,1.33360608144887
425,,1.33674767410246
426,,1.33988926675605
427,,1.34303085940964
428,,1.34617245206323
429,,1.34931404471682
430,,1.35245563737041
431,,1.355597230024
432,,1.35873882267759
433,,1.36188041533118
434,,1.36502200798477
435,,1.36816360063835
436,,1.37130519329194
437,,1.37444678594553
438,,1.37758837859912
439,,1.38072997125271
440,,1.3838715639063
441,,1.38701315655989
442,,1.39015474921348
443,,1.39329634186707
444,,1.39643793452066
445,,1.39957952717425
446,,1.40272111982784
447,,1.40586271248143
