T_index,B_r,B_t,B_p,E_r,E_t,E_p,N_pts_within_FF_region,E_pts_chngd,pct_E_pts_chngd,stdev_B_r,stdev_E_r,stdev_B_t,stdev_E_t,stdev_B_p,stdev_E_p,max_abs_rel_dev_B_r,max_abs_rel_dev_E_r,max_abs_rel_dev_B_t,max_abs_rel_dev_E_t,max_abs_rel_dev_B_p,max_abs_rel_dev_E_p,B_outer_BCs_difference_t,E_outer_BCs_difference_t,B_outer_BCs_difference_p,E_outer_BCs_difference_p,nans_B_r,nans_E_r,nans_B_t,nans_E_t,nans_B_p,nans_E_p,nans_tot,total_electric_energy,total_magnetic_energy,total_energy,normalised_B_div_volume_integral
23,0.344580982227859,0.0715099317248686,4.77851304934865e-07,0.00102809909551497,-0.0049537269085595,6.93155092648701e-05,50025,112,0.2,6.56246720813834e-06,1.35986089028011e-06,2.07973628991093e-06,5.20981301723397e-06,4.46376084436175e-06,2.50171458399711e-06,6.47661558256241e-05,129917.645698223,0.36369676522917,2.67083619976095,4.41218450395858,0.452612779324525,3.38472959667891e-06,3.38472959667891e-06,-1.82554524259163e-06,-1.82554524259163e-06,0,0,0,0,0,0,0,0.00312442716835163,5.77780980700809,5.78093423417645,6.89524059713613e-07
24,0.344580446163279,0.0715086278072304,5.19560345077624e-07,0.00107278677916194,-0.00516910419167748,7.24136079681741e-05,50025,108,0.2,6.56247243186908e-06,1.46424669829709e-06,2.28518886903117e-06,5.61353355525396e-06,4.88501755612075e-06,2.72333420417665e-06,6.47661582682257e-05,138888.49181074,0.415139390433018,2.77922580874463,4.40582021170368,0.50889350214747,3.33991172317476e-06,3.33991172317476e-06,-1.76215653598506e-06,-1.76215653598506e-06,0,0,0,0,0,0,0,0.00340033052847427,5.7778616536843,5.78126198421277,-1.80008877125155e-06
25,0.344579887040415,0.0715072731798995,5.62900535878885e-07,0.00111747294909098,-0.00538448116718312,7.55225333253666e-05,50025,116,0.2,6.56247785769816e-06,1.52458899825177e-06,2.49845342069043e-06,6.01943048508178e-06,5.30738047484227e-06,2.92916766848782e-06,6.47661578558889e-05,144480.905203506,0.470208723599159,2.97247265881344,4.39921368976152,0.567180835198416,3.29664980008873e-06,3.29664980008873e-06,-1.7160445574699e-06,-1.7160445574699e-06,0,0,0,0,0,0,0,0.00368796598717834,5.77791576643463,5.78160373242181,1.53900685027671e-06
26,0.344579304829908,0.0715058684347603,6.07853974303398e-07,0.00116215755327121,-0.0055998578153059,7.86427490001884e-05,50025,116,0.2,6.56248348323186e-06,1.61426593809125e-06,2.7080490206754e-06,6.4435326255779e-06,5.71418256998146e-06,3.13948929891786e-06,6.47661575704506e-05,151594.372663361,0.528856744512201,3.10369863727505,4.39236823850396,0.630886925950564,3.24981495259004e-06,3.24981495259004e-06,-1.6471816764011e-06,-1.6471816764011e-06,0,0,0,0,0,0,0,0.00398732962660593,5.77797215117683,5.78195948080343,-7.61829568491123e-08
27,0.344578699501499,0.0715044141868207,6.54402039433881e-07,0.00120684054100355,-0.00581523411542973,8.17747201976016e-05,50025,111,0.2,6.56248930596329e-06,1.6443408360731e-06,2.91776126005005e-06,6.7290127876381e-06,6.13827318116616e-06,3.38024702415344e-06,6.47661568833335e-05,155340.035925835,0.592716676534381,3.14587135300863,4.38528725350477,471.227569852275,3.20587150168689e-06,3.20587150168689e-06,-1.60443603348449e-06,-1.60443603348449e-06,0,0,0,0,0,0,0,0.00429842269571598,5.77803080936398,5.78232923205969,-4.76715447301608e-07
28,0.344578071024063,0.0715029110740883,7.02525394242193e-07,0.00125152186297002,-0.00603061004606026,8.49189137262009e-05,50025,115,0.2,6.56249532331791e-06,1.71547131355078e-06,3.14318896760497e-06,7.14017508571939e-06,6.48647162415445e-06,3.58301873882783e-06,6.47661580578385e-05,161233.590418779,0.660910706454915,3.24546645512102,4.37797422060602,76.4526021234102,3.16014918068307e-06,3.16014918068307e-06,-1.54922563056551e-06,-1.54922563056551e-06,0,0,0,0,0,0,0,0.00462124148186506,5.77809174504864,5.78271298653051,2.1809964829671e-06
29,0.344577419365641,0.0715013597574419,7.52203987476062e-07,0.0012962014712825,-0.00624598558479225,8.80757980607699e-05,50025,116,0.2,6.56250153272501e-06,1.73340624787409e-06,3.35816300667267e-06,7.43982387039214e-06,6.87361016327546e-06,3.80780852278783e-06,6.47661603543348e-05,163784.902321523,0.734289398951418,3.27162338685075,4.37043271100909,15.3872959282519,3.11327606046722e-06,3.11327606046722e-06,-1.49552587395222e-06,-1.49552587395222e-06,0,0,0,0,0,0,0,0.00495578693508369,5.77815496101867,5.78311074795375,-3.43804469075841e-06
30,0.34457674449348,0.0714997609204984,8.03417055659123e-07,0.00134087931953111,-0.00646136070827719,9.12458434048168e-05,50025,116,0.2,6.56250793148665e-06,1.7712152628023e-06,3.57873139856047e-06,7.77070096757084e-06,7.20768371991315e-06,4.02393550794688e-06,6.47661586736792e-05,166928.263001096,0.811893730367484,3.33180529364922,4.36266637639527,2.94027660908864,3.06943022876721e-06,3.06943022876721e-06,-1.44160994041842e-06,-1.44160994041842e-06,0,0,0,0,0,0,0,0.00530205348289885,5.77822046265094,5.78352251613384,2.51791699032155e-06
31,0.344576046374069,0.0714981152694747,8.56143125214813e-07,0.00138555536283202,-0.00667673539219096,9.44295217532969e-05,50025,124,0.2,6.56251451683397e-06,1.81181270710513e-06,3.79843518810295e-06,8.14030671086056e-06,7.54342416629409e-06,4.19494341036779e-06,6.4766158428653e-05,169801.580230682,0.895558749951862,3.43926544389559,4.35467894405194,1.01837850527059,3.02112959048024e-06,3.02112959048024e-06,-1.39388452719454e-06,-1.39388452719454e-06,0,0,0,0,0,0,0,0.00566004335134234,5.77828825179567,5.78394829514701,7.743188568277e-07
32,0.344575324973172,0.0714964235330451,9.10360014719209e-07,0.00143022955787472,-0.00689210961120165,9.76273069553534e-05,50025,120,0.2,6.56252128591874e-06,1.84260550230802e-06,3.99491887013576e-06,8.4138386771343e-06,7.89272147461201e-06,4.4205195316964e-06,6.47661611012929e-05,171430.340222625,0.985942100267154,3.44262079262027,4.34647421202282,15.8455382593657,2.9748386669757e-06,2.9748386669757e-06,-1.33547496112013e-06,-1.33547496112013e-06,0,0,0,0,0,0,0,0.00602975317399189,5.77835833431606,5.78438808749005,-5.96203336743978e-06
33,0.344574580255876,0.0714946864621939,9.66044837281352e-07,0.00147490186296883,-0.00710748333893755,0.000100839674777148,50025,116,0.2,6.56252823592843e-06,1.86848720024776e-06,4.20733591955309e-06,8.65987239005404e-06,8.20165259442362e-06,4.64715624940455e-06,6.47661600241545e-05,173494.858696897,1.08168466766229,3.42365579700953,4.33805604426695,1.83588840569767,2.93010925750151e-06,2.93010925750151e-06,-1.29676877526268e-06,-1.29676877526268e-06,0,0,0,0,0,0,0,0.00641118175142,5.77843071265109,5.78484189440251,5.78136794062667e-06
34,0.344573812186621,0.0714929048300635,1.02317400306234e-06,0.00151957223809032,-0.00732285654795523,0.000104067102964775,50025,124,0.2,6.56253536386254e-06,1.82776258038869e-06,4.42916091061677e-06,8.8421584135808e-06,8.47697169790357e-06,4.83153980953587e-06,6.47661610877481e-05,169490.87259036,1.18518880857387,3.35580453588843,4.32942836584318,2.37288347364954,2.8803197892981e-06,2.8803197892981e-06,-1.24383573411958e-06,-1.24383573411958e-06,0,0,0,0,0,0,0,0.00680432727001356,5.77850539013091,5.78530971740093,-1.27421236358202e-06
35,0.344573020729248,0.0714910794317972,1.08172322193587e-06,0.00156424064492711,-0.00753822920970784,0.000107310071307235,50025,125,0.2,6.56254266678457e-06,1.83274894123288e-06,4.63355735504383e-06,9.10068042789591e-06,8.68445783185031e-06,5.01765544802262e-06,6.47661603457861e-05,166970.243255674,1.29584793510052,3.32062215746195,4.32059515811275,4.65760747814863,2.83440830244367e-06,2.83440830244367e-06,-1.19029459722024e-06,-1.19029459722024e-06,0,0,0,0,0,0,0,0.00720918082743759,5.77858237563011,5.78579155645755,-8.06913687916091e-06
36,0.344572205847033,0.0714892110843786,1.14166750629407e-06,0.00160890704692419,-0.0077536012945135,0.000110569061699528,50025,122,0.2,6.56255014160679e-06,1.85735888120074e-06,4.83044226874055e-06,9.32036324035371e-06,8.92150801990623e-06,5.23082199097518e-06,6.4766161336105e-05,167684.579361062,1.41557818933149,3.22331808492105,4.31156045397608,3.17499448233886,2.78814140365746e-06,2.78814140365746e-06,-1.14743942810288e-06,-1.14743942810288e-06,0,0,0,0,0,0,0,0.00762575124481995,5.7786616677204,5.78628741896522,9.37181563448135e-06
37,0.344571367502736,0.0714873006264647,1.20298117400471e-06,0.00165357140932804,-0.00796897277152388,0.000113844558205748,50025,130,0.3,6.56255778530627e-06,1.86559403667626e-06,5.03845409002191e-06,9.53939321639975e-06,9.14877578649996e-06,5.37328255677683e-06,6.47661588394355e-05,165344.075685336,1.54620161741772,3.17305549020556,4.30232833314063,4.81094142568214,2.73900026676705e-06,2.73900026676705e-06,-1.10324458433077e-06,-1.10324458433077e-06,0,0,0,0,0,0,0,0.0080540339571355,5.77874327118276,5.78679730513989,7.03243866839459e-06
