T_index,T,T_SI,Omega,Omega_SI,P,P_SI,R_LC,R_LC_SI,star_rotation_angle
29,0.0885009765625,2.95207481712232e-06,0.0270131136162661,809.832772925368,232.597596724138,0.00775862068965518,37.0190572699418,370190.572699418,0.00123656220777585
30,0.091552734375,3.05387050047136e-06,0.0279446002926891,837.758040957278,224.8443435,0.0075,35.7850886942771,357850.886942771,0.00132184236003626
31,0.0946044921875,3.15566618382041e-06,0.028876086969112,865.683308989187,217.59130016129,0.00725806451612904,34.6307309944617,346307.309944617,0.00140996518403867
32,0.09765625,3.25746186716945e-06,0.029807573645535,893.608577021096,210.79157203125,0.00703125,33.5485206508848,335485.206508848,0.0015009306797831
33,0.1007080078125,3.3592575505185e-06,0.030739060321958,921.533845053005,204.403948636364,0.00681818181818182,32.5318988129792,325318.988129792,0.00159473884726955
34,0.103759765625,3.46105323386754e-06,0.0316705469983809,949.459113084915,198.392067794118,0.00661764705882353,31.5750782596563,315750.782596563,0.00169138968649801
35,0.1068115234375,3.56284891721659e-06,0.0326020336748039,977.384381116824,192.723723,0.00642857142857143,30.6729331665232,306729.331665232,0.00179088319746848
36,0.10986328125,3.66464460056564e-06,0.0335335203512269,1005.30964914873,187.37028625,0.00625,29.8209072452309,298209.072452309,0.00189321938018096
37,0.1129150390625,3.76644028391468e-06,0.0344650070276499,1033.23491718064,182.30622445946,0.00608108108108109,29.0149367791436,290149.367791436,0.00199839823463546
38,0.115966796875,3.86823596726373e-06,0.0353964937040728,1061.16018521255,177.508692236842,0.00592105263157895,28.2513858112714,282513.858112714,0.00210641976083197
39,0.1190185546875,3.97003165061277e-06,0.0363279803804958,1089.08545324446,172.957187307692,0.00576923076923077,27.5269913032901,275269.913032901,0.0022172839587705
40,0.1220703125,4.07182733396182e-06,0.0372594670569188,1117.01072127637,168.633257625,0.005625,26.8388165207078,268388.165207078,0.00233099082845103
41,0.1251220703125,4.17362301731086e-06,0.0381909537333417,1144.93598930828,164.520251341464,0.00548780487804878,26.1842112397149,261842.112397149,0.00244754036987359
42,0.128173828125,4.27541870065991e-06,0.0391224404097647,1172.86125734019,160.6031025,0.00535714285714286,25.5607776387694,255607.776387694,0.00256693258303815
