Setting delta_T to a sum of reciprocal powers of 2 to avoid floating point errors:	0.0030517578125 from 0.003
Setting delta_r to a sum of reciprocal powers of 2 to avoid floating point errors:	0.0909423828125 from 0.0909090909090909
New r_max = 10.0032958984375 from 10

Same as 20240610_e but with the 1/r and 1/rsintheta not included, to enable a direct comparison.

Time start:	Tue Jun 11 10:06:33 2024

Parameter values (given in code units, then in SI units)
P_final                :	44.9688687          0.0015              
Omega_final            :	0.139723001463446   4188.79020478639    
R_LC_max               :	7.15701773885541    71570.1773885541    
r_min, r_max           :	1                   10.0032958984375    
n_r, delta_r           :	100                 0.0909423828125     
n_t, delta_t           :	1001                0.00314159265358979 
Timestep delta_T       :	0.0030517578125     1.01795683349045e-07
CFL max timestep       :	0.00314159265358979 1.04792251097584e-07
Length of simulation   :	1.5                 5.00346142797228e-05	steps: 500
Est. CSV size (MB)     :	10.1211547851562
ell_max                :	20
n_max                  :	10
Printing values at ( r[99], theta[250] ) = ( 10.0032958984375, 0.786968959724243 ) = ( 10.0032958984375, 0.2505 pi ).
dOmega_by_dT_index     :	0.00093148667642297	dOmega_by_dT:	0.310495558807657
Ramp start             :	1	0.0030517578125
Ramp stop              :	150	0.457763671875

use_outer_sponge_layer:	1
sigma_0, gamma, beta    :	0.8	6	4

CSV file saved:	CSV/20240611_a_without_rsintheta_4_profiles.csv
CSV file saved:	CSV/20240611_a_without_rsintheta_5_history.csv
CSV _3_VSH_coeffs not saved.
CSV file saved:	CSV/20240611_a_without_rsintheta_7_BCs.csv
Log file saved:	Logs/20240611_a_without_rsintheta.txt
T_index       T             |	B_r           B_t           B_p           |	E_r           E_t           E_p           |	% E pts chngd |	nans_tot      % done        Est. time left
111           0.338745      |	0.00139976    0.00012925    0.000370461   |	0.000284557   0.000370461   -0.00012925   |	1             |	0             22.4          0:10:19
112           0.341797      |	0.00139953    0.000127635   0.000371221   |	0.00029376    0.000371221   -0.000127635  |	1             |	0             22.6          0:10:16
113           0.344849      |	0.00139948    0.000124377   0.000372221   |	0.000303278   0.000372221   -0.000124377  |	0.9           |	0             22.8          0:10:14
114           0.3479        |	0.00139943    0.000121432   0.00037518    |	0.000313313   0.00037518    -0.000121432  |	0.8           |	0             23            0:10:11
115           0.350952      |	0.00139936    0.000120317   0.000377296   |	0.000323694   0.000377296   -0.000120317  |	0.7           |	0             23.2          0:10:09
116           0.354004      |	0.00139926    0.000118267   0.000377345   |	0.000334553   0.000377345   -0.000118267  |	0.6           |	0             23.4          0:10:06
117           0.357056      |	0.00139916    0.00011326    0.000378375   |	0.000345735   0.000378375   -0.00011326   |	0.5           |	0             23.6          0:10:04
118           0.360107      |	0.00139914    0.000109249   0.000382151   |	0.000357198   0.000382151   -0.000109249  |	0.5           |	0             23.8          0:10:02
119           0.363159      |	0.00139905    0.000107801   0.000385567   |	0.000369013   0.000385567   -0.000107801  |	0.4           |	0             24            0:09:59
120           0.366211      |	0.00139896    0.000105785   0.000385834   |	0.000381137   0.000385834   -0.000105785  |	0.3           |	0             24.2          0:09:57
121           0.369263      |	0.00139887    0.000100728   0.000386771   |	0.000393316   0.000386771   -0.000100728  |	0.3           |	0             24.4          0:09:55
122           0.372314      |	0.0013988     9.56503e-05   0.000390493   |	0.000405703   0.000390493   -9.56503e-05  |	0.3           |	0             24.6          0:09:53
123           0.375366      |	0.00139877    9.36038e-05   0.000394676   |	0.000418126   0.000394676   -9.36038e-05  |	0.2           |	0             24.8          0:09:50
124           0.378418      |	0.00139864    9.19596e-05   0.000396053   |	0.000430774   0.000396053   -9.19596e-05  |	0.2           |	0             25            0:09:48
125           0.38147       |	0.00139857    8.79192e-05   0.000396493   |	0.000443533   0.000396493   -8.79192e-05  |	0.2           |	0             25.2          0:09:46
126           0.384521      |	0.00139849    8.25481e-05   0.000399606   |	0.000456202   0.000399606   -8.25481e-05  |	0.2           |	0             25.4          0:09:44
127           0.387573      |	0.00139845    7.98667e-05   0.000404083   |	0.000468986   0.000404083   -7.98667e-05  |	0.1           |	0             25.6          0:09:43
128           0.390625      |	0.00139836    7.8601e-05    0.000406082   |	0.0004819     0.000406082   -7.8601e-05   |	0.1           |	0             25.8          0:09:41
129           0.393677      |	0.00139825    7.49655e-05   0.000406901   |	0.000494745   0.000406901   -7.49655e-05  |	0.1           |	0             26            0:09:40
130           0.396729      |	0.00139823    7.02998e-05   0.000409217   |	0.000507705   0.000409217   -7.02998e-05  |	0.1           |	0             26.2          0:09:39
131           0.39978       |	0.00139814    6.7072e-05    0.000413254   |	0.000520862   0.000413254   -6.7072e-05   |	0.1           |	0             26.4          0:09:36
132           0.402832      |	0.00139809    6.50353e-05   0.000415871   |	0.00053403    0.000415871   -6.50353e-05  |	0.1           |	0             26.6          0:09:35
133           0.405884      |	0.00139797    6.22806e-05   0.000417157   |	0.000547348   0.000417157   -6.22806e-05  |	0.1           |	0             26.8          0:09:33
134           0.408936      |	0.00139794    5.7574e-05    0.000418913   |	0.000560722   0.000418913   -5.7574e-05   |	0             |	0             27            0:09:32
135           0.411987      |	0.00139786    5.34776e-05   0.000422914   |	0.000574163   0.000422914   -5.34776e-05  |	0             |	0             27.2          0:09:31
136           0.415039      |	0.00139778    5.15629e-05   0.000426329   |	0.000587793   0.000426329   -5.15629e-05  |	0             |	0             27.4          0:09:28
137           0.418091      |	0.00139775    4.87188e-05   0.000427216   |	0.000601506   0.000427216   -4.87188e-05  |	0             |	0             27.6          0:09:26
138           0.421143      |	0.00139764    4.38189e-05   0.000429528   |	0.000615289   0.000429528   -4.38189e-05  |	0             |	0             27.8          0:09:25
139           0.424194      |	0.00139756    3.99967e-05   0.000433408   |	0.000629248   0.000433408   -3.99967e-05  |	0             |	0             28            0:09:23
140           0.427246      |	0.00139752    3.76909e-05   0.000436115   |	0.000643354   0.000436115   -3.76909e-05  |	0             |	0             28.2          0:09:21
141           0.430298      |	0.0013974     3.41717e-05   0.000438034   |	0.000657571   0.000438034   -3.41717e-05  |	0             |	0             28.4          0:09:19
142           0.43335       |	0.00139736    2.9885e-05    0.000440434   |	0.000671851   0.000440434   -2.9885e-05   |	0             |	0             28.6          0:09:17
143           0.436401      |	0.00139727    2.59729e-05   0.000443852   |	0.000686305   0.000443852   -2.59729e-05  |	0             |	0             28.8          0:09:15
144           0.439453      |	0.00139721    2.28563e-05   0.000446885   |	0.000700878   0.000446885   -2.28563e-05  |	0             |	0             29            0:09:13
145           0.442505      |	0.00139709    1.94472e-05   0.000449315   |	0.000715589   0.000449315   -1.94472e-05  |	0             |	0             29.2          0:09:11
146           0.445557      |	0.00139701    1.57049e-05   0.000451658   |	0.000730397   0.000451658   -1.57049e-05  |	0             |	0             29.4          0:09:10
147           0.448608      |	0.00139695    1.12724e-05   0.000454503   |	0.000745285   0.000454503   -1.12724e-05  |	0             |	0             29.6          0:09:09
148           0.45166       |	0.00139687    7.53772e-06   0.000458133   |	0.000760331   0.000458133   -7.53772e-06  |	0             |	0             29.8          0:09:10
149           0.454712      |	0.00139679    4.60358e-06   0.000461119   |	0.000775528   0.000461119   -4.60358e-06  |	0             |	0             30            0:09:10
150           0.457764      |	0.00139665    1.09211e-06   0.000463142   |	0.00079079    0.000463142   -1.09211e-06  |	0             |	0             30.2          0:09:10
151           0.460815      |	0.0013966     1.39321e-06   0.000465527   |	0.000801395   0.000465527   -1.39321e-06  |	0             |	0             30.4          0:09:09
