
ATNF Pulsar Catalogue
Catalogue Version: 2.4.0
#;P0;P1;BINARY;ASSOC;PSR;
;(s);;(type);;TYPE;
152;1.387584;1.30e-15;*;*;*;
153;0.862100;*;*;*;*;
154;0.003156;1.73e-20;ELL1;GRS:4FGL_J0307.8+7443[aab+22];HE[hrm+11],HE[aab+22];
155;0.003704;1.97e-20;ELL1;GRS:4FGL_J0312.1-0921[aab+22];HE[trr+21],HE[aab+22];
156;1.974300;*;*;*;*;
157;0.005190;1.76e-20;*;GRS:4FGL_J0318.2+0254[aab+22];HE[wlz+18];
158;3.032072;6.36e-16;*;*;*;
159;0.336620;3.81e-16;*;*;*;
160;1.364679;1.55e-15;*;*;*;
161;0.893320;2.15e-16;*;*;*;
162;0.714520;2.05e-15;*;*;*;
163;0.269201;7.35e-18;*;*;*;
164;1.761934;4.81e-15;*;*;*;
165;0.002733;1.77e-20;ELL1;OPT:[rsa+14],XRS:[ska+16];*;
166;2.056210;*;*;*;RRAT[kkl+15];
167;0.003299;7.05e-21;*;GRS:4FGL_J0340.3+4130[aab+22];HE[aab+22];
168;1.888000;*;*;*;*;
169;1.007640;*;*;*;*;
170;1.934478;1.34e-14;*;*;*;
171;2.597027;5.70e-17;*;*;*;
172;1.226006;3.47e-15;*;*;*;
173;0.039123;2.41e-19;ELL1;*;*;
174;2.420771;1.10e-15;*;*;*;
175;0.094300;*;*;*;*;
176;0.444104;1.30e-14;*;GRS:4FGL_J0357.8+3204[aab+22];NRAD[aab+22];
177;0.197030;4.77e-16;*;*;*;
178;0.226484;1.46e-16;*;*;*;
179;0.156384;4.39e-15;*;XRS:PWN[mvk+06];HE[to07];
180;0.091506;1.09e-17;*;*;*;
181;0.079427;1.67e-14;*;GRS:4FGL_J0359.4+5414[aab+22],XRS:[wcp+1;NRAD[aab+22];
182;0.545254;1.54e-15;*;*;*;
183;0.512194;2.75e-16;*;*;*;
184;0.063954;1.64e-19;*;*;*;
185;0.002600;*;*;*;*;
186;0.002609;8.31e-21;ELL1;*;*;
187;0.594576;5.57e-15;*;*;*;
188;0.025702;7.90e-20;BT;*;*;
189;1.837000;*;*;*;*;
190;0.754000;*;*;*;*;
191;1.878500;*;*;*;RRAT;
192;0.687000;*;*;*;*;
193;1.081000;*;*;*;*;
194;0.440189;5.01e-17;*;*;*;
195;0.390715;7.66e-17;*;*;*;
196;0.654400;*;*;*;*;
197;0.440283;*;*;*;*;
198;9.078388;4.10e-15;*;XRS:SGR_0418+5729;AXP,NRAD;
199;0.002910;1.37e-20;*;GRS:4FGL_J0418.9+6636[aab+22];HE[trr+21],HE[aab+22];
200;0.757119;1.32e-15;*;*;*;
201;1.241000;*;*;*;*;
202;1.241126;5.92e-16;*;*;*;
203;3.453004;2.76e-14;*;XRS:RX_J0420.0-5022[hmp98],OPT:[kkvh11];XINS,NRAD;
204;0.900105;6.00e-17;*;*;*;
205;2.161308;1.16e-15;*;*;*;
206;0.922475;3.93e-14;*;*;*;
207;0.326279;8.17e-18;*;*;*;
208;0.005757;5.73e-20;T2;GRS:4FGL_J0437.2-4715[aab+22],OPT:[bbm+9;HE[bt93],HE[aaa+09f];
209;0.002995;8.00e-21;*;*;*;
210;2.188190;*;*;*;RRAT;
211;0.450448;1.48e-16;*;*;*;
212;0.479164;3.37e-15;*;EXGAL:LMC;*;
213;0.438014;1.03e-16;*;*;*;
214;0.245454;0.00e+00;*;EXGAL:LMC;*;
215;0.548939;5.75e-15;*;*;*;
216;0.045782;1.86e-19;DDH;*;*;
217;1.389137;4.89e-15;*;*;*;
218;0.340729;2.37e-15;*;*;*;
219;0.320423;1.02e-14;*;EXGAL:LMC;*;
220;0.117073;*;*;EXGAL:LMC;*;
221;0.800132;3.67e-14;*;EXGAL:LMC;*;
222;0.504900;*;*;*;*;
223;2.497012;2.10e-16;*;*;*;
224;0.231390;*;*;EXGAL:LMC;*;
225;1.883480;5.30e-16;*;*;*;
226;1.133900;*;*;EXGAL:LMC;*;
227;1.133076;1.40e-15;*;*;*;
228;5.762097;5.82e-12;*;OPT:[dml+11];AXP,NRAD;
229;0.638565;5.58e-15;*;*;*;
230;0.691251;2.31e-14;*;EXGAL:LMC;*;
231;0.003390;*;*;GRS:4FGL_J0506.1+5028[aab+22];HE[qpl+19],HE[aab+22];
232;0.004056;4.41e-21;ELL1;*;*;
233;2.496100;*;*;*;*;
234;0.076541;7.93e-18;DD;*;*;
235;0.322062;2.06e-16;*;*;*;
236;0.004991;6.97e-22;DDH;GC:NGC1851[fgri04];*;
237;0.002816;*;*;GC:NGC1851[rfg+22];*;
238;0.005565;*;*;GC:NGC1851[rfg+22];*;
239;0.004554;*;BT;GC:NGC1851[rfg+22];*;
240;0.005596;*;BT;GC:NGC1851[rfg+22];*;
241;0.004329;*;BT;GC:NGC1851[rfg+22];*;
242;0.003803;*;BT;GC:NGC1851[rfg+22];*;
243;0.005506;*;BT;GC:NGC1851[rfg+22];*;
244;0.032654;*;BT;GC:NGC1851[rfg+22];*;
245;0.006633;*;*;GC:NGC1851[rfg+22];*;
246;0.004692;*;*;GC:NGC1851[rfg+22];*;
247;0.002959;*;BT;GC:NGC1851[rfg+22];*;
248;0.004798;*;*;GC:NGC1851[rfg+22];*;
249;0.005568;*;*;GC:NGC1851[rfg+22];*;
250;0.320271;2.04e-15;*;GRS:4FGL_J0514.6-4408[saa+23];HE[brs+19];
251;0.222367;1.16e-17;*;*;*;
252;2.636940;6.86e-16;*;*;*;
253;0.912512;1.91e-16;*;*;*;
254;0.340203;1.68e-15;*;*;*;
255;0.515000;*;*;*;*;
256;0.263212;6.97e-16;*;EXGAL:LMC;*;
257;0.241642;3.01e-17;*;*;*;
258;0.433421;*;*;EXGAL:LMC;*;
259;0.674532;1.77e-14;*;EXGAL:LMC;*;
260;0.322500;*;*;EXGAL:LMC;*;
261;0.354438;7.36e-17;*;*;*;
262;8.047000;6.50e-11;*;XRS:SGR_0526-66,SNR:N49(?)[ekl+80];AXP,NRAD;
263;3.745539;4.01e-14;*;*;*;
264;0.689224;5.75e-16;*;*;*;
265;0.975737;1.55e-14;*;EXGAL:LMC;*;
266;0.906502;6.21e-16;*;*;*;
267;0.907000;*;*;*;*;
268;0.642743;5.35e-15;*;EXGAL:LMC;*;
269;1.149196;*;*;EXGAL:LMC;*;
270;0.963018;1.60e-16;*;*;*;
271;0.004388;1.26e-20;*;GRS:4FGL_J0533.8+6800[aab+22];HE[aab+22];
272;0.157285;2.80e-16;*;*;*;
