
ATNF Pulsar Catalogue
Catalogue Version: 2.4.0
#;Gl;Gb;RAJD;DECJD;
;(deg);(deg);(deg);(deg);
545;221.258;50.980;152.50000000;15.85000000;
546;160.347;50.858;153.13932687;53.11729541;
547;262.131;26.377;153.14052652;-23.63956138;
548;274.218;11.225;153.05391189;-42.59816755;
549;283.459;-1.762;153.22875000;-58.50711111;
550;283.707;-2.146;153.20195833;-58.96347222;
551;284.130;-2.596;153.38270000;-59.57406389;
552;278.136;6.330;153.57500000;-48.82833333;
553;281.262;2.212;153.99063083;-53.98666664;
554;283.088;-0.578;153.90816667;-57.32022222;
555;281.201;2.450;154.12972917;-53.75396111;
556;283.708;-1.363;154.05029583;-58.31696389;
557;284.079;-1.880;154.08816667;-58.95336111;
558;198.432;56.273;154.40120833;30.19613889;
559;282.732;0.341;154.30346250;-56.35847778;
560;291.558;-12.553;154.46383654;-71.94489308;
561;257.129;33.529;154.55299776;-15.38617672;
562;258.261;32.610;154.66818997;-16.70281630;
563;283.837;-0.679;154.96725000;-57.81830556;
564;282.468;1.591;155.13304167;-55.16883333;
565;284.719;-1.944;155.05845833;-59.35944444;
566;285.302;-2.848;155.04754167;-60.43508333;
567;286.150;-4.142;155.05104167;-61.98102778;
568;283.041;0.935;155.35341667;-56.03080556;
569;231.795;51.101;155.74166510;10.03133222;
570;284.347;-0.834;155.61708333;-58.22500000;
